Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Daryl Macon,15,PG,6-2,185,"November 29, 1995",us US,1,Arkansas
Kendrick Nunn,25,PG,6-2,190,"August 3, 1995",us US,R,"Illinois, Oakland"
KZ Okpala,4,PF,6-8,215,"April 28, 1999",us US,R,Stanford
Kelly Olynyk,9,C,6-11,240,"April 19, 1991",ca CA,6,Gonzaga
Duncan Robinson,55,SG,6-7,215,"April 22, 1994",us US,1,"Williams, Michigan"
Chris Silva,30,PF,6-8,234,"September 19, 1996",ga GA,R,South Carolina
Gabe Vincent,2,PG,6-3,195,"June 14, 1996",us US,R,UC Santa Barbara
Dion Waiters,11,SG,6-3,215,"December 10, 1991",us US,7,Syracuse
Justise Winslow,20,SG,6-6,222,"March 26, 1996",us US,4,Duke
Jaylen Brown,7,SG,6-6,223,"October 24, 1996",us US,3,California
Carsen Edwards,4,SG,5-11,200,"March 12, 1998",us US,R,Purdue
Tacko Fall,99,C,7-6,311,"December 10, 1995",sn SN,R,Central Florida
Enes Freedom,11,C,6-10,250,"May 20, 1992",ch CH,8,Kentucky
Javonte Green,43,SG,6-4,205,"July 23, 1993",us US,R,Radford
Gordon Hayward,20,SF,6-7,225,"March 23, 1990",us US,9,Butler
Romeo Langford,45,SG,6-5,216,"October 25, 1999",us US,R,Indiana
Semi Ojeleye,37,PF,6-6,240,"December 5, 1994",us US,2,"Duke, SMU"
Vincent Poirier,77,C,7-0,235,"October 17, 1993",fr FR,R,
Marcus Smart,36,SG,6-3,220,"March 6, 1994",us US,5,Oklahoma State
Jayson Tatum,0,PF,6-8,210,"March 3, 1998",us US,2,Duke
Daniel Theis,27,C,6-8,245,"April 4, 1992",de DE,2,
Kemba Walker,8,PG,6-0,184,"May 8, 1990",us US,8,UConn
Brad Wanamaker,9,PG,6-3,210,"July 25, 1989",us US,1,Pitt
Tremont Waters,51,PG,5-10,175,"January 10, 1998",us US,R,LSU
Grant Williams,12,PF,6-6,236,"November 30, 1998",us US,R,Tennessee
Robert Williams,44,C,6-9,237,"October 17, 1997",us US,1,Texas A&M
Giannis Antetokounmpo,34,PF,6-11,242,"December 6, 1994",gr GR,6,
Thanasis Antetokounmpo,43,SF,6-7,219,"July 18, 1992",gr GR,1,
Dragan Bender,17,C,7-0,225,"November 17, 1997",ba BA,3,
Eric Bledsoe,6,PG,6-1,214,"December 9, 1989",us US,9,Kentucky
Sterling Brown,23,SF,6-5,219,"February 10, 1995",us US,2,SMU
Pat Connaughton,24,SG,6-5,209,"January 6, 1993",us US,4,Notre Dame
Donte DiVincenzo,0,SG,6-4,203,"January 31, 1997",us US,1,Villanova
George Hill,3,PG,6-4,188,"May 4, 1986",us US,11,IUPUI
Ersan Ä°lyasova,7,PF,6-9,235,"May 15, 1987",tr TR,11,
Kyle Korver,26,SF,6-7,212,"March 17, 1981",us US,16,Creighton
Brook Lopez,11,C,7-1,282,"April 1, 1988",us US,11,Stanford
Robin Lopez,42,C,7-1,281,"April 1, 1988",us US,11,Stanford
Frank Mason III,15,PG,5-11,190,"April 3, 1994",us US,2,Kansas
Wesley Matthews,9,SG,6-5,220,"October 14, 1986",us US,10,Marquette
Khris Middleton,22,SF,6-7,222,"August 12, 1991",us US,7,Texas A&M
Marvin Williams,20,PF,6-8,237,"June 19, 1986",us US,14,UNC
D.J. Wilson,5,PF,6-10,231,"February 19, 1996",us US,2,Michigan
